index,predicate,xmlName
1.1.1.2.5.3,http://data.europa.eu/949/automaticDroppingDeviceRequired,ERS_AutoDropRequired
1.1.1.3.1.1,http://data.europa.eu/949/verificationCCS,CDE_ECVerification
1.1.1.3.2.1,http://data.europa.eu/949/etcsLevelType,CPE_Level
1.1.1.3.2.2,http://data.europa.eu/949/etcsBaseline,CPE_Baseline
1.1.1.3.2.3,http://data.europa.eu/949/etcsInfillLineAccess,CPE_Infill
1.1.1.3.2.4,http://data.europa.eu/949/etcsInfill,CPE_InfillLineSide
1.1.1.3.2.5,http://data.europa.eu/949/etcsNationalPacket44,CPE_NatApplication
1.1.1.3.2.6,http://data.europa.eu/949/hasETCSRestrictionsConditions,CPE_RestrictionsConditions
1.1.1.3.2.7,http://data.europa.eu/949/etcsOptionalFunctions,CPE_OptionalFunctions
1.1.1.3.2.8,http://data.europa.eu/949/trainIntegrityOnBoardRequired,CPE_IntegrityConfirmation
1.1.1.3.2.9,http://data.europa.eu/949/etcsSystemCompatibility,CPE_SystemCompatibility
1.1.1.3.2.10,http://data.europa.eu/949/etcsMVersion,CPE_MVersion
1.1.1.3.3.1,http://data.europa.eu/949/gsmRVersion,CRG_Version
1.1.1.3.3.2,http://data.europa.eu/949/gsmRActiveMobiles,CRG_NumActiveMob
1.1.1.3.3.3,http://data.europa.eu/949/gsmROptionalFunctions,CRG_OptionalFunctions
1.1.1.3.3.3.1,http://data.europa.eu/949/gsmRAdditionalInfo,CRG_AdditionalnetworkInfo
1.1.1.3.3.3.2,http://data.europa.eu/949/gprsForETCS,CRG_GPRSForETCS
1.1.1.3.3.3.3,http://data.europa.eu/949/gprsImplementationArea,CRG_GPRSAreaOfImpl
1.1.1.3.3.4,http://data.europa.eu/949/usesGroup555,CRG_Needof555
1.1.1.3.3.5,http://data.europa.eu/949/gsmrNetworkCoverage,CRG_RoamingAgreement
1.1.1.3.3.6,http://data.europa.eu/949/publicNetworkRoaming,CRG_RoamingPublic
1.1.1.3.3.7,http://data.europa.eu/949/publicNetworkRoamingDetails,CRG_RoamingPublicDetails
1.1.1.3.3.8,http://data.europa.eu/949/gsmRNoCoverage,CRG_GSMRNoCoverage
1.1.1.3.3.9,http://data.europa.eu/949/voiceRadioCompatible,CRG_RadioCompVoice
1.1.1.3.3.10,http://data.europa.eu/949/dataRadioCompatible,CRG_RadioCompData
1.1.1.3.4.1,http://data.europa.eu/949/hasTSITrainDetection,CCD_TSITrainDetection
1.1.1.3.5.1,http://data.europa.eu/949/hasOtherTrainProtection,CPO_Installed
1.1.1.3.5.2,http://data.europa.eu/949/multipleTrainProtectionRequired,CPO_MultipleRequired
1.1.1.3.5.3,http://data.europa.eu/949/protectionLegacySystem,CPO_LegacyTrainProtection
1.1.1.3.6.1,http://data.europa.eu/949/legacyRadioSystem,CRS_Installed
1.1.1.3.7.1.1,http://data.europa.eu/949/trainDetectionSystemType,CTD_DetectionSystem
1.1.1.3.7.1.2,http://data.europa.eu/949/trainDetectionSystemSpecificCheck,CTD_TCCheck
1.1.1.3.7.1.3,http://data.europa.eu/949/trainDetectionSystemSpecificCheckDocument,CTD_TCCheckDocRef
1.1.1.3.7.1.4,http://data.europa.eu/949/frenchTrainDetectionSystemLimitation,CTD_TCLimitation
